kind	v	emitters
auth.status	2	auth.login,auth.logout,auth.status
auth.token	1	auth.token
board.get	1	board.get
board.list	1	board.list
context.get	1	context.create,context.delete,context.edit,context.show,context.use
context.list	1	context.list
contract	2	contract
dry-run	2	epic.add,epic.remove,issue.assign,issue.attachment.upload,issue.clone,issue.comment.add,issue.comment.delete,issue.comment.edit,issue.create,issue.delete,issue.edit,issue.link.add,issue.link.remove,issue.move,issue.watch,issue.worklog.add,issue.worklog.delete,sprint.add,sprint.create,sprint.start
epic.add	2	epic.add
epic.get	1	epic.get
epic.list	1	epic.list
epic.remove	2	epic.remove
field.list	1	field.list
issue.assign	2	issue.assign
issue.attachment.download	1	issue.attachment.download
issue.attachment.list	1	issue.attachment.list
issue.attachment.upload	1	issue.attachment.upload
issue.clone	1	issue.clone
issue.comment.add	2	issue.comment.add
issue.comment.delete	1	issue.comment.delete
issue.comment.edit	1	issue.comment.edit
issue.comment.list	2	issue.comment.list
issue.create	1	issue.create
issue.delete	1	issue.delete
issue.edit	2	issue.edit
issue.get	7	issue.get
issue.history	1	issue.history
issue.link.add	1	issue.link.add
issue.link.list	1	issue.link.list
issue.link.remove	1	issue.link.remove
issue.list	5	issue.list
issue.move	3	issue.move
issue.watch	1	issue.watch
issue.worklog.add	2	issue.worklog.add
issue.worklog.delete	1	issue.worklog.delete
issue.worklog.list	2	issue.worklog.list
jql.explain	1	jql.explain
jql.validate	1	jql.validate
meta.createmeta	1	meta.createmeta
meta.transitions	2	meta.transitions
project.components	1	project.components
project.get	2	project.get
project.list	2	project.list
project.statuses	2	project.statuses
project.versions	1	project.versions
schema.command	1	schema
schema.commands	1	schema
sprint.add	1	sprint.add
sprint.create	1	sprint.create
sprint.get	1	sprint.get
sprint.list	1	sprint.list
sprint.start	1	sprint.start
user.get	2	user.get,user.me
user.list	2	user.list
version	1	version
