kind	v	emitters
auth.status	2	auth.login,auth.logout,auth.status
auth.token	1	auth.token
board.get	1	board.get
board.list	1	board.list
context.get	2	context.create,context.delete,context.edit,context.show,context.use
context.list	2	context.list
contract	2	contract
doctor	1	doctor
epic.get	1	epic.get
epic.list	1	epic.list
field.list	2	field.list
issue.activity	1	issue.activity
issue.attachment.download	1	issue.attachment.download
issue.attachment.list	1	issue.attachment.list
issue.changes	1	issue.changes
issue.comment.list	2	issue.comment.list
issue.get	9	issue.get
issue.history	1	issue.history
issue.link.list	1	issue.link.list
issue.list	7	issue.list
issue.worklog.list	2	issue.worklog.list
jql.explain	1	jql.explain
jql.validate	1	jql.validate
meta.createmeta	2	meta.createmeta
meta.transitions	3	meta.transitions
project.components	1	project.components
project.get	2	project.get
project.list	2	project.list
project.statuses	2	project.statuses
project.versions	1	project.versions
schema.command	2	schema
schema.commands	1	schema
sprint.get	1	sprint.get
sprint.list	1	sprint.list
user.get	2	user.get,user.me
user.list	2	user.list
version	1	version
