kind	v	emitters
auth.status	1	auth.login,auth.logout,auth.status
auth.token	1	auth.token
board.get	1	board.get
board.list	1	board.list
context.get	1	context.create,context.delete,context.edit,context.show,context.use
context.list	1	context.list
contract	2	contract
epic.get	1	epic.get
epic.list	1	epic.list
field.list	1	field.list
issue.attachment.download	1	issue.attachment.download
issue.attachment.list	1	issue.attachment.list
issue.comment.list	2	issue.comment.list
issue.get	3	issue.get
issue.link.list	1	issue.link.list
issue.list	2	issue.list
issue.worklog.list	2	issue.worklog.list
jql.explain	1	jql.explain
jql.validate	1	jql.validate
meta.createmeta	1	meta.createmeta
meta.transitions	1	meta.transitions
project.components	1	project.components
project.get	1	project.get
project.list	1	project.list
project.statuses	2	project.statuses
project.versions	1	project.versions
schema.command	1	schema
schema.commands	1	schema
sprint.get	1	sprint.get
sprint.list	1	sprint.list
user.get	1	user.get,user.me
user.list	1	user.list
version	1	version
